what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1556208024021
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556208024116
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556208024222
error,log,,,"Current file is not a match for the given config.",1556208024364
error,log,,,"Current file is not a match for the given config.",1556208024373
error,log,,,"Current file is not a match for the given config.",1556208024382
error,log,,,"Current file is not a match for the given config.",1556208024391
error,log,,,"Current file is not a match for the given config.",1556208024399
error,log,,,"Current file is not a match for the given config.",1556208024407
error,log,,,"Current file is not a match for the given config.",1556208024416
error,log,,,"Current file is not a match for the given config.",1556208024424
error,log,,,"Current file is not a match for the given config.",1556208024433
error,log,,,"Current file is not a match for the given config.",1556208024442
error,log,,,"Current file is not a match for the given config.",1556208024449
error,log,,,"Current file is not a match for the given config.",1556208024458
error,log,,,"Current file is not a match for the given config.",1556208024466
error,log,,,"Current file is not a match for the given config.",1556208024475
error,log,,,"Current file is not a match for the given config.",1556208024483
error,log,,,"Current file is not a match for the given config.",1556208024491
error,log,,,"Current file is not a match for the given config.",1556208024499
error,log,,,"Current file is not a match for the given config.",1556208024508
error,log,,,"Current file is not a match for the given config.",1556208024516
error,log,,,"Current file is not a match for the given config.",1556208024524
error,log,,,"Current file is not a match for the given config.",1556208024532
error,log,,,"Current file is not a match for the given config.",1556208024540
error,log,,,"Current file is not a match for the given config.",1556208024550
error,log,,,"Current file is not a match for the given config.",1556208024559
error,log,,,"Current file is not a match for the given config.",1556208024574
error,log,,,"Current file is not a match for the given config.",1556208024584
error,log,,,"Current file is not a match for the given config.",1556208024593
error,log,,,"Current file is not a match for the given config.",1556208024602
error,log,,,"Current file is not a match for the given config.",1556208024611
error,log,,,"Current file is not a match for the given config.",1556208024619
error,log,,,"Current file is not a match for the given config.",1556208024628
error,log,,,"Current file is not a match for the given config.",1556208024636
error,log,,,"Current file is not a match for the given config.",1556208024647
error,log,,,"Current file is not a match for the given config.",1556208024655
error,log,,,"Current file is not a match for the given config.",1556208024663
error,log,,,"Current file is not a match for the given config.",1556208024671
error,log,,,"Current file is not a match for the given config.",1556208024680
error,log,,,"Current file is not a match for the given config.",1556208024688
error,log,,,"Current file is not a match for the given config.",1556208024697
error,log,,,"Current file is not a match for the given config.",1556208024705
error,log,,,"Current file is not a match for the given config.",1556208024712
error,log,,,"Current file is not a match for the given config.",1556208024721
error,log,,,"Current file is not a match for the given config.",1556208024730
error,log,,,"Current file is not a match for the given config.",1556208024738
error,log,,,"Current file is not a match for the given config.",1556208024747
error,log,,,"Current file is not a match for the given config.",1556208024755
error,log,,,"Current file is not a match for the given config.",1556208024763
error,log,,,"Current file is not a match for the given config.",1556208024772
error,log,,,"Current file is not a match for the given config.",1556208024780
error,log,,,"Current file is not a match for the given config.",1556208024788
error,log,,,"Current file is not a match for the given config.",1556208024796
error,log,,,"Current file is not a match for the given config.",1556208024804
error,log,,,"Current file is not a match for the given config.",1556208024812
error,log,,,"Current file is not a match for the given config.",1556208024821
error,log,,,"Current file is not a match for the given config.",1556208024829
error,log,,,"Current file is not a match for the given config.",1556208024836
error,log,,,"Current file is not a match for the given config.",1556208024845
error,log,,,"Current file is not a match for the given config.",1556208024853
error,log,,,"Current file is not a match for the given config.",1556208024862
error,log,,,"Current file is not a match for the given config.",1556208024870
error,log,,,"Current file is not a match for the given config.",1556208024878
error,log,,,"Current file is not a match for the given config.",1556208024886
error,log,,,"Current file is not a match for the given config.",1556208024895
error,log,,,"Current file is not a match for the given config.",1556208024903
error,log,,,"Current file is not a match for the given config.",1556208024912
error,log,,,"Current file is not a match for the given config.",1556208024920
error,log,,,"Current file is not a match for the given config.",1556208024928
error,log,,,"Current file is not a match for the given config.",1556208024936
error,log,,,"Current file is not a match for the given config.",1556208024944
error,log,,,"Current file is not a match for the given config.",1556208024953
error,log,,,"Current file is not a match for the given config.",1556208024961
error,log,,,"Current file is not a match for the given config.",1556208024968
error,log,,,"Current file is not a match for the given config.",1556208024977
error,log,,,"Current file is not a match for the given config.",1556208024985
error,log,,,"Current file is not a match for the given config.",1556208024994
error,log,,,"Current file is not a match for the given config.",1556208025002
error,log,,,"Current file is not a match for the given config.",1556208025010
error,log,,,"Current file is not a match for the given config.",1556208025020
error,log,,,"Current file is not a match for the given config.",1556208025028
error,log,,,"Current file is not a match for the given config.",1556208025036
error,log,,,"Current file is not a match for the given config.",1556208025045
error,log,,,"Current file is not a match for the given config.",1556208025053
error,log,,,"Current file is not a match for the given config.",1556208025060
error,log,,,"Current file is not a match for the given config.",1556208025069
error,log,,,"Current file is not a match for the given config.",1556208025077
error,log,,,"Current file is not a match for the given config.",1556208025085
error,log,,,"Current file is not a match for the given config.",1556208025093
error,log,,,"Current file is not a match for the given config.",1556208025101
error,log,,,"Current file is not a match for the given config.",1556208025109
error,log,,,"Current file is not a match for the given config.",1556208025117
error,log,,,"Current file is not a match for the given config.",1556208025126
error,log,,,"Current file is not a match for the given config.",1556208025134
error,log,,,"Current file is not a match for the given config.",1556208025141
error,log,,,"Current file is not a match for the given config.",1556208025163
error,log,,,"Current file is not a match for the given config.",1556208025172
error,log,,,"Current file is not a match for the given config.",1556208025180
error,log,,,"Current file is not a match for the given config.",1556208025187
