what,kind,bundleId,bundleVersion,description,time
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377897228
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377897236
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377897244
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377897253
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377932940
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377932949
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377932957
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377932970
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556377937093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556377941277
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377955176
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377955185
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377955193
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377955202
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377963793
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377963802
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377963816
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377963827
error,log,,,"activity_main.xml: Failed to find style 'buttonStyle' in current theme",1556377963837
error,log,,,"activity_main.xml: Failed to find style 'buttonStyle' in current theme",1556377963846
error,log,,,"activity_main.xml: Failed to find style 'buttonStyle' in current theme",1556377963857
error,log,,,"activity_main.xml: Failed to find style 'buttonStyle' in current theme",1556377963866
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556377981791
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556377983766
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556377983804
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556377987073
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556377987073
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377992008
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377992020
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377992029
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556377992038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1556377992107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378000503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378006560
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556378014217
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556378019814
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1556378026885
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556378036502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378042614
error,log,,,"Failed to load properties file for project 'Kita'",1556378079752
error,log,,,"",1556378081677
error,log,,,"",1556378096964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378101248
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1556378103851
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378105415
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378118276
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1556378118283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1556378118283
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556378121756
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556378123263
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556378123314
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556378123323
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556378123333
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556378123416
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1556378123419
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556378123544
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556378123555
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556378123564
error,log,,,"activity_main.xml: Failed to find style 'textViewStyle' in current theme",1556378123573
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378127392
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556378131218
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556378131242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378131411
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1556378131418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1556378131418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378147829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378150158
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1556378150166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1556378150166
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556378152221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378155817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378158887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378160190
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378160210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378160215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378305013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378306867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378406295
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556378409535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.restartWorkbench",1556378410203
