what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1556346612011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346613983
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346614505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346616431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346623655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346625207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346652673
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346662334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1556346666508
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1556346671977
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346674546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346675611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346677509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346684892
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346689306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1556346690217
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1556346690844
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1556346693400
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1556346693561
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1556346693718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1556346693881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1556346697571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346698930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346701015
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556346709698
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346713191
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556346716369
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346720140
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346721576
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346723066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346727167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346727686
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556346731155
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1556346732283
started,bundle,com.android.ide.eclipse.ddms,23.0.7.2120684,"com.android.ide.eclipse.ddms",1556346736842
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1556346736938
error,log,,,"Error generating final archive: java.io.FileNotFoundException: C:\\Users\\Dev\\workspace\\PrefenceMenu\\bin\\resources.ap_ does not exist",1556346742754
started,bundle,com.android.ide.eclipse.traceview,23.0.7.2120684,"com.android.ide.eclipse.traceview",1556346743399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346743419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556346747236
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346753574
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346753638
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556346761854
