what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1556375926070
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1556375926212
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1556375926268
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1556375926377
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1556375926397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556375939498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556375943063
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1556375949351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556375950212
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556375950934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556375952174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556375966146
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1556375966158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556375969327
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556375996713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.help.aboutAction",1556375996723
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1556376010040
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556376013884
closed,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1556376013884
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556376047525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376057762
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1556376102128
started,bundle,org.eclipse.emf.ecore,2.9.1.v20130827-0309,"org.eclipse.emf.ecore",1556376102863
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1556376102891
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1556376102911
started,bundle,org.eclipse.emf.ecore.xmi,2.9.1.v20130827-0309,"org.eclipse.emf.ecore.xmi",1556376102929
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1556376102932
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1556376103060
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1556376103063
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1556376103105
error,log,,,"Failed to load properties file for project 'Kitkat'",1556376103798
error,log,,,"",1556376105134
error,log,,,"",1556376117547
error,log,,,"",1556376130314
error,log,,,"",1556376141739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376143525
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556376151339
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556376151440
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556376158216
opened,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556376167343
activated,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556376167426
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556376176299
closed,editor,com.android.ide.eclipse.adt,23.0.7.2120684,"com.android.ide.eclipse.editors.CommonXmlEditor",1556376176300
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556376177744
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556376177744
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556376179268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376185392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376193586
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1556376193594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1556376193594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376198516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376201597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376202393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376202412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376202419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376556028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556376558216
