what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207012854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207017170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1556207018859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207024468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207024925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207025520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207030519
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1556207032609
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1556207033458
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1556207038931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207040519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207042133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207043966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207046002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207046745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207050417
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1556207051546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1556207057412
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556207061502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207062470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207076332
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1556207081177
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1556207100636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207102828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207102993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1556207105650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207106127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207108957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207109916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207118748
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1556207122443
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1556207125150
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1556207132217
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1556207134844
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1556207141935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207142957
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556207144000
