what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1556689168154
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1556689168154
java.vm.specification.version,sysinfo,,,"1.8",1556689168154
java.vm.vendor,sysinfo,,,"Oracle Corporation",1556689168154
java.vm.version,sysinfo,,,"25.151-b12",1556689168154
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1556689168216
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1556689168404
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1556689168466
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1556689169294
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1556689169920
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1556689170357
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1556689171013
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1556689171654
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1556689171998
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1556689172873
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1556689172888
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1556689172935
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1556689172935
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1556689172998
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1556689173623
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1556689173732
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1556689173982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556689181311
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1556689181889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556689186670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556689205843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556689211015
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1556689219016
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1556689220078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556689223454
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556689235751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1556689235986
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1556689247327
